.imp,age,race_ethn,year,var,pop,m,q,p,lx,d,L,t,e,c,s,se
2,3,AI/AN,2013,2178,77324,0.028167192592209404,0.02777600652952954,0.9722239934704705,86731.42456261565,2409.052614966611,85526.89825513234,1123122.4072552104,12.949428801833799,0.13268575437384356,0.8673142456261564,0.001995171513478501
2,4,AI/AN,2013,2028,76882,0.026378085897869462,0.0260347129506008,0.9739652870493992,84322.37194764904,2195.308748970827,83224.71757316362,1037595.5090000781,12.305103438554386,0.15677628052350967,0.8432237194764903,0.0019397536164925907
2,5,AI/AN,2013,1905,79382,0.023997883651205563,0.023713348561327948,0.9762866514386721,82127.06319867821,1947.5076759484655,81153.30936070398,954370.7914269145,11.620661378310123,0.17872936801321793,0.8212706319867821,0.0018892526878923166
2,6,AI/AN,2013,1699,79871,0.021271800778755744,0.021047937017238495,0.9789520629827615,80179.55552272974,1687.614234712586,79335.74840537345,873217.4820662105,10.890774791320288,0.1982044447727026,0.8017955552272974,0.0018444521803839002
2,7,AI/AN,2013,1514,78294,0.019337369402508492,0.019152192888135508,0.9808478071118645,78491.94128801716,1503.2927997123188,77740.294888161,793881.733660837,10.114181413194753,0.21508058711982847,0.7849194128801715,0.001805630267059872
2,8,AI/AN,2013,1395,77781,0.017934971265476145,0.017775569104914086,0.9822244308950859,76988.64848830484,1368.5170414978056,76304.38996755594,716141.438772676,9.30190947411505,0.23011351511695155,0.7698864848830484,0.0017710484879004857
2,9,AI/AN,2013,1166,75748,0.015393145693615672,0.015275576109313384,0.9847244238906866,75620.13144680703,1155.1410733119847,75042.56091015105,639837.0488051202,8.461199902240272,0.24379868553192963,0.7562013144680704,0.001739567093115657
2,10,AI/AN,2013,1083,74685,0.01450090379594296,0.014396522502043827,0.9856034774979562,74464.99037349505,1072.0369095264905,73928.97191873181,564794.4878949691,7.584698326852952,0.25535009626504945,0.7446499037349505,0.0017129942035875117
2,11,AI/AN,2013,1044,74178,0.014074253821887891,0.013975903614457831,0.9860240963855421,73392.95346396856,1025.7328435928212,72880.08704217215,490865.5159762373,6.688183167573739,0.2660704653603144,0.7339295346396856,0.0016883330439896934
2,12,AI/AN,2013,981,74852,0.013105862234810025,0.013020539536118392,0.9869794604638816,72367.22062037574,942.2602572066098,71896.09049177243,417985.42893406516,5.775894463692821,0.2763277937962426,0.7236722062037574,0.001664737064097789
2,13,AI/AN,2013,945,76503,0.012352456766401317,0.012276633474287271,0.9877233665257127,71424.96036316913,876.8580592941289,70986.53133352206,346089.33844229265,4.845495701818499,0.2857503963683087,0.7142496036316913,0.001643061289337462
2,14,AI/AN,2013,953,74489,0.012793835331391211,0.012712514423301386,0.9872874855766987,70548.102303875,896.843768074541,70099.68041983774,275102.8071087707,3.8995068346956816,0.29451897696124996,0.70548102303875,0.0016228900281124762
2,15,AI/AN,2013,895,74376,0.012033451651070238,0.011961482689262065,0.9880385173107379,69651.25853580046,833.1323232613067,69234.6923741698,205003.12668893297,2.943279575968641,0.30348741464199547,0.6965125853580045,0.0016022590152226645
2,16,AI/AN,2013,788,73857,0.010669266284847746,0.010612651681458836,0.9893873483185411,68818.12621253915,1245.212073543531,68195.5201757674,135768.4343147632,1.972858631684529,0.31181873787460845,0.6881812621253915,0.0015830936217483642
2,17,AI/AN,2013,560,73776,0.007590544350466276,0.007561845090202008,0.992438154909798,67572.91413899562,-0,67572.91413899562,67572.91413899562,1,0.3242708586100438,0.6757291413899562,0.0015544487370378643
2,0,White,2013,107365,2063044,0.05204203109579825,0.05072218824680468,0.9492778117531954,100000,5072.218824680458,97463.89058765977,1456507.1998767322,14.565071998767323,0,1,0
2,1,White,2013,57538,2069108,0.027808118280921054,0.027426774782315647,0.9725732252176843,94927.78117531954,2603.5628748804447,93625.99973787932,1359043.3092890724,14.316602499947747,0.050722188246804634,0.9492778117531954,3.869546149252031e-4
2,2,White,2013,53158,2085072,0.025494563257287998,0.025173667428945407,0.9748263325710546,92324.2183004391,2324.139167132613,91162.14871687279,1265417.3095511931,13.706233671357007,0.07675781699560902,0.923242183004391,3.7634169785067187e-4
2,3,White,2013,50408,2085666,0.024168778701863097,0.023880201054541493,0.9761197989454585,90000.07913330648,2149.219984627998,88925.46914099249,1174255.1608343204,13.047268092898396,0.09999920866693512,0.9000007913330649,3.6686779710933437e-4
2,4,White,2013,48675,2097163,0.02320992693462549,0.022943666522821936,0.977056333477178,87850.85914867849,2015.6208160506794,86843.04874065315,1085329.6916933279,12.354229682108398,0.12149140851321516,0.8785085914867848,3.581069203539267e-4
2,5,White,2013,48372,2163827,0.02235483705490319,0.022107729707273222,0.9778922702927267,85835.2383326278,1897.6222484171158,84886.42720841925,998486.6429526748,11.632595916881478,0.14164761667372194,0.8583523833262781,3.4989063459381147e-4
2,6,White,2013,45375,2188167,0.020736534277319783,0.020523738672083576,0.9794762613279164,83937.61608421069,1722.7136972700246,83076.25923557568,913600.2157442555,10.884276422953006,0.16062383915789313,0.8393761608421069,3.421553470171052e-4
2,7,White,2013,40793,2193701,0.018595515067914906,0.018424211219243956,0.981575788780756,82214.90238694067,1514.7447269465192,81457.5300234674,830523.9565086797,10.101866357510914,0.1778509761305933,0.8221490238694067,3.351330400896701e-4
2,8,White,2013,37918,2209030,0.01716500002263437,0.017018935012695306,0.9829810649873046,80700.15765999415,1373.4307387297158,80013.44229062929,749066.4264852123,9.282093718344127,0.19299842340005857,0.8070015765999414,3.289584781725106e-4
2,9,White,2013,35182,2243886,0.015679049648689818,0.015557089459676134,0.9844429105403238,79326.72692126443,1234.0929872574052,78709.68042763573,669052.984194583,8.434143322951545,0.20673273078735566,0.7932672692126443,3.233599552106175e-4
2,10,White,2013,33163,2238911,0.014812111781129308,0.014703218920036312,0.9852967810799637,78092.63393400703,1148.2130927739636,77518.52738762004,590343.3037669474,7.5595260913573865,0.21907366065992973,0.7809263393400703,3.18329415459729e-4
2,11,White,2013,31787,2235786,0.014217371430002693,0.014117017985907853,0.9858829820140922,76944.42084123306,1086.2257729309495,76401.30795476759,512824.7763793273,6.664872784441236,0.23055579158766937,0.7694442084123306,3.136489483755374e-4
2,12,White,2013,32323,2300579,0.014049941340853758,0.013951929445701838,0.9860480705542982,75858.19506830211,1058.368185471234,75329.01097556649,436423.46842455957,5.753148595634359,0.24141804931697886,0.7585819506830211,3.092211605300589e-4
