age,state,race_ethn,investigation,substantiation,fc,tpr
0,AK,AIAN,0.18435555531340722,0.06523281417920701,0.04413694319522867,0.010524091782236672
0,AK,White,0.032216949618706046,0.01335232089668597,0.0106961356310564,0.0036936891942537502
0,AL,AIAN,0.005798481515733148,0.0028118928939687795,0.002262368668652385,3.0603501040519036e-5
0,AL,White,0.05394977014304041,0.02565318867434011,0.011137884298083052,0.0022475198959917447
0,AR,AIAN,0.030270295713776565,0.012620510830889522,0.008019931210959088,0.003448625621259763
0,AR,White,0.1053051247798552,0.043375949505138754,0.01984187974184342,0.005798393289279423
0,AZ,AIAN,0.057420090349486204,0.022068576601473305,0.020037519474254993,0.00731699841977301
0,AZ,White,0.08207504946389145,0.029931472154098294,0.025405774468985457,0.0112029338367808
0,CA,AIAN,0.0311905232774533,0.01693303874941126,0.016040730768947895,0.005481036132146881
0,CA,White,0.04156462547709503,0.01802462572386595,0.011561689072279257,0.004806756018179863
0,CO,AIAN,0.02402409226915488,0.011987303743153203,0.009199216842324675,0.0019882471037826832
0,CO,White,0.04834482251487815,0.018875240212366216,0.00886105721662835,0.002441923615350879
0,CT,AIAN,0.013898552978407567,0.007260608244188812,0.0038481431924053066,5.010970785543431e-4
0,CT,White,0.03757993735147494,0.017817469737469293,0.008767579418335055,0.0022183419903112353
0,DC,AIAN,0.001141339892210568,0,0,0
0,DC,White,0.028133957878106318,0.0032351949417288232,2.529993992878146e-4,8.162092632044851e-5
0,DE,AIAN,0.007053660263686287,0.0013802622498274672,0,0
0,DE,White,0.07021711175803606,0.009743276331298154,0.006290520187430534,0.002148308678036371
0,FL,AIAN,0.01738246640037128,0.004711372550731041,0.003684241854343867,0.0010107323613696274
0,FL,White,0.09658925674579041,0.023119919547279287,0.016125960306471652,0.005723631600244576
0,HI,AIAN,0.013265126338719721,0.007669184729681514,0.008141309978581805,0.001454701962779544
0,HI,White,0.023296141336965025,0.013166555611033196,0.0118874540748375,0.002354293982245435
0,IA,AIAN,0.07955710326532399,0.04956225468385645,0.02965325450178521,0.010168584296061196
0,IA,White,0.05630307106809448,0.027601391230356577,0.013866249157727044,0.005307465566825684
0,ID,AIAN,0.02162943390065977,0.013795810971444701,0.010107100066018181,0.004535602244906928
0,ID,White,0.045756393103360576,0.017766135343772638,0.009540680967513891,0.0025744517578475106
0,IL,AIAN,0.009364129537839772,0.003931739277420899,0.0026725513617796323,9.138034194856566e-4
0,IL,White,0.04919367152604687,0.018631147329257813,0.006802127648986124,0.002090593347238932
0,IN,AIAN,0.03953002857792054,0.016001986610881314,0.006777282963654324,0.0012959679310436878
0,IN,White,0.11452391632776024,0.04288710331387716,0.022175335009915153,0.0028468446652983093
0,KS,AIAN,0.025248643281991015,0.0038112005224063207,0.015449300870245427,0.003933910306845004
0,KS,White,0.03233752461588724,0.003950448743729507,0.014713403359691572,0.004476325300728392
0,KY,AIAN,0.04086172776294309,0.015123260031916596,0.005424183866978219,0.0010769021028560475
0,KY,White,0.11519220259196213,0.04659037852149228,0.015481739154750774,0.003385321801593843
0,LA,AIAN,0.0036067869019179135,0.0015503772458879714,9.98454195701928e-4,3.8251211349774056e-4
0,LA,White,0.048080002960366075,0.031460903357676616,0.010923104169668116,0.0031289982126745056
0,MA,AIAN,0.08007776611151009,0.04881884970550427,0.021864050609296637,0.007836463855721693
0,MA,White,0.0680170354721988,0.038693997395358476,0.012200743985761563,0.003276509523304662
0,MD,AIAN,0.0035990790575037954,0.0011273038493006342,9.240422778286228e-4,7.395629193265417e-5
0,MD,White,0.020423518793888026,0.006062678198173118,0.004709813203404034,0.0011542218998426817
0,ME,AIAN,0.08270597643438435,0.025708123486655292,0.012940660911389268,0.004946251354375883
0,ME,White,0.08982392517948302,0.031416485092431785,0.014102832690473447,0.005869427629996123
0,MI,AIAN,0.0799955856362107,0.04101637205350708,0.016349811912017065,0.006552858188942651
0,MI,White,0.09456455976703651,0.04264378513398557,0.009353682654695456,0.004094043814103077
0,MN,AIAN,0.15712713152346025,0.06527338948845611,0.09659620415270521,0.017161338356415957
0,MN,White,0.03112949273988334,0.0073871328868423,0.007643728907720241,0.0029342155289952512
0,MO,AIAN,0.0195086311959237,0.0016373136795463455,0.006967524562934373,0.0020190589162100273
0,MO,White,0.047930279561358695,0.005183364236960384,0.01754078092063781,0.004658992926722201
0,MS,AIAN,0.008475252936081165,0.003373799049603267,0.0022087571262201264,3.754240919822988e-4
0,MS,White,0.07015671760512439,0.02818699084980828,0.01479169141282167,0.0013320587033075022
0,MT,AIAN,0.10630316906976701,0.04804821176806233,0.06923990795003426,0.013293141320522088
0,MT,White,0.07385256431149442,0.022919416995311893,0.020725580552861233,0.0054149624836724065
0,NC,AIAN,0.05448323600545635,0.0046112212795138535,0.008331036746719572,0.0015394400485869136
0,NC,White,0.06778783891614189,0.005033267889632499,0.009072305464909397,0.0026981936184466383
0,ND,AIAN,0.08429197502643367,0.038353695247688446,0.039571475756254325,0.009887354303037714
0,ND,White,0.03493877070132181,0.01341565716688375,0.008465210224353597,0.0022069468103607104
0,NE,AIAN,0.09504431956055451,0.03254281592646774,0.03151015401214749,0.007098010566123857
0,NE,White,0.047559553867503906,0.01042556980582617,0.010625898329155671,0.003268366724409556
0,NH,AIAN,0.05463653017837042,0.007736534206119822,0.0048648015017255805,0.002886002886002886
0,NH,White,0.07554909094408722,0.009630263167938777,0.007866885192854455,0.0019238907382407926
0,NJ,AIAN,0.005356001002888587,7.097646077452652e-4,6.187721447488455e-4,1.8204325347702613e-5
